metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1777447068,1.000000,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_duration,1777447068,35.822700,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_blocked,1777447068,7.883700,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_connecting,1777447068,0.528300,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_tls_handshaking,1777447068,0.000000,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_sending,1777447068,0.000000,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_waiting,1777447068,34.894800,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_receiving,1777447068,0.927900,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_req_failed,1777447068,0.000000,,,,true,,GET,http://localhost:8047/login?returnUrl=%2F,HTTP/1.1,default,,200,,,http://localhost:8047/login?returnUrl=%2F,,
http_reqs,1777447068,1.000000,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_duration,1777447068,11.444800,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_blocked,1777447068,0.000000,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_connecting,1777447068,0.000000,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_tls_handshaking,1777447068,0.000000,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_sending,1777447068,0.000000,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_waiting,1777447068,10.634900,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_receiving,1777447068,0.809900,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
http_req_failed,1777447068,0.000000,,,,true,,POST,http://localhost:8047/login?returnurl=%2F,HTTP/1.1,default,,302,,,http://localhost:8047/login?returnurl=%2F,,
checks,1777447068,1.000000,status is 302,,,,,,,,default,,,,,,,
checks,1777447068,1.000000,redirect exists,,,,,,,,default,,,,,,,
checks,1777447068,1.000000,redirect correct,,,,,,,,default,,,,,,,
checks,1777447068,1.000000,no login error message,,,,,,,,default,,,,,,,
vus,1777447069,1.000000,,,,,,,,,,,,,,,,
vus_max,1777447069,1.000000,,,,,,,,,,,,,,,,
data_sent,1777447069,807.000000,,,,,,,,,default,,,,,,,
data_received,1777447069,30961.000000,,,,,,,,,default,,,,,,,
iteration_duration,1777447069,1058.231700,,,,,,,,,default,,,,,,,
